sampleID,Longitude,Latitude
ARK_CAH143,-93.81,35.8
ARK_CAH144,-93.81,35.8
ARK_CAH156,-93.81,35.8
ARK_CAH163,-93.81,35.8
FLA_FL28W,-80.473,25.492
FLA_FL30W,-80.473,25.492
FLA_FLWN26,-80.473,25.492
FLA_FLWN27,-80.473,25.492
FLA_FLWN29,-80.473,25.492
FLA_FLWN33,-80.473,25.492
FLA_PB52307,-81.44,30.44
FLA_PB52314,-81.44,30.44
FLA_PB52315,-81.44,30.44
FLA_PB52329,-81.43,30.41
FLA_PB52330,-81.43,30.41
FLA_PB52335,-81.47,30.44
GUA_DHB4503,-91.61166667,14.6
GUA_DHB4507,-91.61166667,14.6
GUA_DHB4551,-91.61166667,14.6
GUA_JK02010,-91.61166667,14.6
GUA_JK02015,-91.61166667,14.6
HON_JK00031,-88.9,14.9
JAL_KSW3233,-105.07,19.52
JAL_KSW3254,-105.07,19.52
JAL_KSW3273,-105.07,19.52
KNS_JK04545,-96.26,37.02
KNS_SAR7994,-98.64566667,37.26416667
KNS_SAR7995,-98.60883333,37.2685
KNS_SAR7996,-98.61866667,37.25966667
LOU_CAH097,-91.97,32.48
LOU_CAH098,-91.97,32.48
LOU_CAH100,-91.97,32.48
LOU_CAH140,-91.97,32.48
LOU_JK04540,-91.97,32.48
NCL_PB65637,-77.99,33.86
NCL_PB65639,-77.99,33.86
NCL_PB65648,-78,33.87
NCL_PB65655,-78,33.87
NCL_PB65658,-78,33.87
OAX_ASJ90,-96.13,18.08
OAX_DHB5578,-97.07683333,15.917
OAX_DHB5582,-97.07683333,15.917
OAX_DHB5715,-98.48,35.21
OAX_JMD069,-97.07683333,15.917
OKL_CAH081,-98.48,35.21
OKL_CAH090,-98.48,35.21
OKL_JK04554,-95.2,35.72
OKL_JMD369,-98.48,35.21
QUI_GLS10,-86.9,20.44
QUI_GLS172,-86.9,20.44
QUI_GLS23,-86.9,20.44
QUI_MGL19,-86.9,20.44
QUI_PEP2969,-86.9,20.44
SCL_PB65537,-79.99,32.72
SCL_PB65545,-79.99,32.72
SCL_PB65556,-79.99,32.72
SCL_PB65557,-79.99,32.72
SCL_PB65564,-79.99,32.72
SIN_CSW7732,-108.795,26.275
SIN_CSW7736,-108.795,26.275
SIN_CSW7737,-108.795,26.275
SIN_CSW7763,-108.795,26.275
SIN_EAG016,-105.7516667,23.25
SIN_EAG024,-105.7516667,23.25
SIN_EAG032,-105.7516667,23.25
SIN_RCF2610,-105.7516667,23.25
TAB_CAM318,-92.56,18.36
TEX_BTS05071,-103,29.59
TEX_CAH087,-97.38,30.66
TEX_CAH146,-94.75,31.48
TEX_CAH149,-94.75,31.48
TEX_CAH153,-94.75,31.48
TEX_CAH155,-103,29.59
TEX_CAH161,-94.75,31.48
TEX_CAH162,-94.75,31.48
TEX_CAH170,-103,29.59
TEX_CAH177,-103,29.59
TEX_JK04518,-97.38,30.66
TEX_JK04519,-97.38,30.66
TEX_JK04563,-97.38,30.66
VCZ_TUX1094,-95.03,18.48
VCZ_TUX1107,-95.03,18.48
VCZ_TUX1402,-95.03,18.48
VCZ_TUX204,-95.03,18.48
YUC_BRB849,-87.70483333,21.52066667
YUC_BRB875,-87.70483333,21.52066667
YUC_BRB878,-87.70483333,21.52066667
YUC_BRB883,-87.70483333,21.52066667
YUC_BRB893,-87.70483333,21.52066667
YUC_BRB928,-87.70483333,21.52066667
YUC_BRB941,-87.70483333,21.52066667
YUC_BRB942,-87.70483333,21.52066667
YUC_CAM013,-87.67,21.51
YUC_CAM109,-87.67,21.51
YUC_CAM31,-87.67,21.51
